Brand,Name,Flight Rating
Discmania,FD3,9/4.1/0/3
Discmania,Genius,7.2/5/-4/1
Discmania,Instinct,7.2/5.2/-0.1/2
Discmania,Magician,6/4/0/2
Discmania,Gremlin GM,5.1/4/0/2
Discmania,Maestro,4/2.9/-0.1/1.9
Discmania,MD,4/5/-0.1/0.1
Discmania,MD1,4/4/0/2
Discmania,MD2,4/5/-0.2/1.9
Discmania,MD3,5/5/-0.1/2.4
Discmania,MD4,5/4.1/-0.1/2.9
Discmania,MD5,5/3.1/0/4
Discmania,Method,5/5/0/2.9
Discmania,Origin,5/5.1/-1.1/1
Discmania,Link,2/3.1/0/1
Discmania,P1,2.1/3.1/-0.1/0.1
Discmania,P1X,2.1/3/-0.1/0.5
Discmania,P2,2/3.1/0/1.2
Discmania,P3,3/4.3/0/2.7
Discmania,P3x,3/2.2/0/2.6
Discmania,Sensei,2.8/3/0/1.1
Discmania,Tactic,4/2.1/0/3
Discraft,Avenger,9.9/4.8/0/2.9
Discraft,Avenger SS,9.8/4.9/-2.9/1
Discraft,Crank,12.3/5/-1.4/2
Discraft,Crank SS,12.6/4.7/-2.8/1.8
Discraft,Crush,11.1/5/-0.1/3.8
Discraft,Flash,10/5/-1.9/2.9
Discraft,Flick,10/3.5/0.9/4.3
Discraft,Force,12/4.9/0/3.2
Discraft,Hades,12/6/-3/1.9
Discraft,Machete,10.6/3.7/0.1/3.9
Discraft,Nuke,13/4.9/-1/3
Discraft,Nuke OS,13/4/0/4.1
Discraft,Nuke SS,13/5/-3/2.9
Discraft,Pulse,10.9/3.9/0/3
Discraft,Punisher,11.9/4.9/-0.3/2.9
Discraft,Spectra,11.8/4.9/-2/2
Discraft,Surge,11/5/-1/2.9
Discraft,Surge SS,11/4.9/-1.1/2
Discraft,Thrasher,11.9/5.1/-2.8/1.9
Discraft,Wildcat,11/5/-2/3
Discraft,Zeus,12/5/-0.9/3
Discraft,Anax,10/5.8/-0.1/2.9
Discraft,Cyclone,7/4.2/-1/2.8
Discraft,Eclipse,6.8/5/-2/1.9
Discraft,Heat,9/5.7/-2.9/1
Discraft,Mantis,8/4.5/-1.5/1.9
Discraft,Predator,9/4/-0.1/4
Discraft,Raptor,9/4/0/3
Discraft,Reaper,8/3.2/-0.1/3.7
Discraft,Stalker,7.3/4.9/-1/1.6
Discraft,Sting,6.8/4.9/-2.2/0.9
Discraft,Talon,8/3/1/3
Discraft,Tracker,7.9/4.4/-0.5/3.3
Discraft,Undertaker,8.9/5/-1/2.2
Discraft,Vulture,9.7/4.8/-0.1/2
Discraft,XL,7.9/5/-1/1.9
Discraft,Xpress,7.9/4.9/-3.1/0.9
Discraft,XS,8/4.9/-2/3
Discraft,Xtreme,6/3/1/4
Discraft,Zombee,6/4.9/-1/0.9
Discraft,Archer,6/5/-3/1
Discraft,Buzzz,5/4.3/-0.6/1.1
Discraft,Buzzz GT,5/4.9/0/1.3
Discraft,Buzzz OS,5/3.9/0/3
Discraft,Buzzz SS,5/4.1/-1.9/1
Discraft,Comet,4.1/5.2/-1.8/0.9
Discraft,Drone,5/3.4/0.5/3.9
Discraft,Glide,5.9/5/-3/1.8
Discraft,Hawk,4/5/-1.8/1.9
Discraft,Hornet,5/5/-0.1/3.8
Discraft,Impact,5.1/5/-1.9/1.9
Discraft,Malta,5/4.1/0.5/2.9
Discraft,Meteor,4.2/4.9/-2.8/1
Discraft,Nebula,5/4/-0.5/2
Discraft,Sol,4/4.8/-2.8/0.4
Discraft,Stratus,5/4.9/-3/1
Discraft,Wasp,5/4.2/0/2.5
Discraft,APX,2/3/-1/0.9
Discraft,Banger GT,2/3/-0.1/1
Discraft,Challenger,2/3/0/1.9
Discraft,Challenger OS,2.9/4.8/0/2.6
Discraft,Challenger SS,2/3.9/-0.7/1.7
Discraft,Fierce,3/4/-2/0
Discraft,Focus,2/3/-1/1.8
Discraft,Luna,3/3.1/-0.1/2.2
Discraft,Magnet,2/3/-1/1.9
Discraft,Putt'r,2/3.1/-2/0.9
Discraft,Rattler,2/3.1/-1/1
Discraft,Ringer,3/3.8/0/1.9
Discraft,Ringer GT,3/3/0/2.8
Discraft,Roach,2.1/3.9/-0.3/1
Discraft,Soft Magnet,2/3.1/-1/1.8
Discraft,Zone,3.8/3/0/3
Dynamic Discs,Captain,12.7/4.9/-2.1/2.1
Dynamic Discs,Criminal,10/3.1/1/4.1
Dynamic Discs,Defender,13/4.9/0/3.1
Dynamic Discs,Enforcer,12/4.1/0.3/3.9
Dynamic Discs,Freedom,13.8/5/-2.8/2.6
Dynamic Discs,Raider,12.9/5/-0.6/3
Dynamic Discs,Renegade,11/5/-2.1/2.6
Dynamic Discs,Sergeant,11/4/0/2.6
Dynamic Discs,Sheriff,12.9/5.1/-1/2
Dynamic Discs,Trespass,11.9/5/-1.1/2.8
Dynamic Discs,Breakout,8/5.1/-1.2/1.5
Dynamic Discs,Convict,9/4.1/-0.6/2.8
Dynamic Discs,Escape,9/5.2/-0.9/1.9
Dynamic Discs,Felon,9/3.6/0.2/3.9
Dynamic Discs,Getaway,9/5.1/-0.5/2.8
Dynamic Discs,Maverick,7.1/4.3/-1.6/1.8
Dynamic Discs,Thief,8/5/-1.4/1.7
Dynamic Discs,Vandal,9/5/-1.3/2
Dynamic Discs,Witness,8/6/-3/1
Dynamic Discs,EMac Truth,5/5/-0.2/1.9
Dynamic Discs,Evidence,5/5.1/-1/0.3
Dynamic Discs,Fugitive,5/5/-0.2/1
Dynamic Discs,Justice,5/2.1/0.5/4.1
Dynamic Discs,Patrol,5/5/-3/0.6
Dynamic Discs,Proof,5/5/-3.1/0.9
Dynamic Discs,Suspect,4/3.1/-0.1/2.8
Dynamic Discs,Truth,5/5.1/-0.7/1.4
Dynamic Discs,Verdict,5.1/4.1/-0.1/3.3
Dynamic Discs,Warrant,5/5/-1.9/0.1
Dynamic Discs,Deputy,3/4/-1.4/0
Dynamic Discs,Gavel,3/5/-1.8/0.4
Dynamic Discs,Guard,2/5/0/0.5
Dynamic Discs,Judge,2.1/4/0/0.8
Dynamic Discs,Marshal,3/3.6/-0.1/1.2
Dynamic Discs,Slammer,2.6/2.1/0/3
Dynamic Discs,Warden,2/3.5/0/0.5
Gateway,Apache,9/4/-1/2
Gateway,Apex,12/6/-1/1.9
Gateway,Diablo,10.7/5.1/-0.9/2
Gateway,Illusion,11/4.9/-0.9/3.1
Gateway,Journey,12.2/6/-1.5/1.1
Gateway,Ninja,10.6/4.9/-0.1/2.1
Gateway,Rage,10/5/-0.5/3.5
Gateway,Samurai,13/5.8/-2.2/1.1
Gateway,Siren,12.8/4.9/-1.9/1.2
Gateway,Slayer,12.9/4.9/-1.2/2.2
Gateway,Speed Demon,12/3/0/4
Gateway,Spirit,11.7/3.9/0.3/4.4
Gateway,Apache,9/4/-1/2
Gateway,Assassin,8.9/6/-1.6/1.1
Gateway,Blade,9/4.7/-0.1/3.1
Gateway,Blaze,7/4.8/0/2.8
Gateway,Hybrid,7/4/-0.5/3
Gateway,Sabre,8/5/-1/1
Gateway,Spear,9/6/-1.9/1.1
Gateway,Blaze,7/4.8/0/2.8
Gateway,Demon,5.9/3/0.1/4.1
Gateway,Element,5/5/-1.3/1
Gateway,Karma,6.2/4.8/-0.8/2.1
Gateway,Mystic,5/4.9/-2.1/0.1
Gateway,Prophecy,5/5.1/0/2.1
