Name,Brand,Category,Stability,Speed,Glide,Turn,Fade,URL,ThumbnailURL
Reaper,Discraft,Control Drivers,Very Overstable,8,3.2,-0.1,3.7,https://infinitediscs.com/Discraft-Reaper,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_eb4afeda-14e1-47ed-bc04-d55db3f16a7bDSC00831.JPG

Stalker,Discraft,Control Drivers,Overstable,7.3,4.9,-1,1.6,https://infinitediscs.com/Discraft-Stalker,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_a2b7c7bc-636b-45f7-825c-b36925ad8f8eDiscraft Stalker Elite Z.jpg

Sting,Discraft,Control Drivers,Understable,6.8,4.9,-2.2,0.9,https://infinitediscs.com/Discraft-Sting,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_145d17-6797.JPG

Talon,Discraft,Control Drivers,Very Overstable,8,3,1,3,https://infinitediscs.com/Discraft-Talon,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_12e220e9-bb43-487b-9a9c-efc2f8beffe4DSC00819.jpg

Tracker,Discraft,Control Drivers,Overstable,7.9,4.4,-0.5,3.3,https://infinitediscs.com/Discraft-Tracker,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_fbb7baaf-111b-4b10-908f-33ef9eb5f73cDiscraft Tracker Elite Z.jpg

Undertaker,Discraft,Control Drivers,Overstable,8.9,5,-1,2.2,https://infinitediscs.com/Discraft-Undertaker,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_8e6e19fd-39da-41e7-9e31-7f7e55b61ae1DSC03740.JPG

Vulture,Discraft,Control Drivers,Overstable,9.7,4.8,-0.1,2,https://infinitediscs.com/Discraft-Vulture,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_3eac86-ef50.JPG

XL,Discraft,Control Drivers,Overstable,7.9,5,-1,1.9,https://infinitediscs.com/Discraft-XL,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_85832e74-4465-45ef-8299-dfa611c04ecaDiscraft XL Elite X.jpg

Xpress,Discraft,Control Drivers,Understable,7.9,4.9,-3.1,0.9,https://infinitediscs.com/Discraft-Xpress,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_43e990ef-5ffc-4271-8a29-f341033d0dc8Discraft XPress Elite Z.jpg

XS,Discraft,Control Drivers,Overstable,8,4.9,-2,3,https://infinitediscs.com/Discraft-XS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_46fccedd-9928-4255-8594-81468ed9ce71Discraft XS Elite X.jpg

Xtreme,Discraft,Control Drivers,Very Overstable,6,3,1,4,https://infinitediscs.com/Discraft-Xtreme,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_Infinite004.jpg

Zombee,Discraft,Control Drivers,Neutral,6,4.9,-1,0.9,https://infinitediscs.com/Discraft-Zombee,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_f75cd026-e4a2-4f6c-b37a-6057a194b219Discraft Zombee Elite Z.jpg

Archer,Discraft,Mid Range,Understable,6,5,-3,1,https://infinitediscs.com/Discraft-Archer,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC02421.jpg

Buzzz,Discraft,Mid Range,Neutral,5,4.3,-0.6,1.1,https://infinitediscs.com/Discraft-Buzzz,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_a2140452-de5f-4379-a3ed-d2ac3d6cdf4eDSC03148.JPG

Buzzz GT,Discraft,Mid Range,Overstable,5,4.9,0,1.3,https://infinitediscs.com/Discraft-Buzzz-GT,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_Infinite1_10.jpg

Buzzz OS,Discraft,Mid Range,Overstable,5,3.9,0,3,https://infinitediscs.com/Discraft-Buzzz-OS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_e278702f-e94e-483e-b7fc-cd2e8f39d65f100_5260.JPG

Buzzz SS,Discraft,Mid Range,Understable,5,4.1,-1.9,1,https://infinitediscs.com/Discraft-Buzzz-SS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_8efd65cc-b89a-42f2-b304-3fbed9c23384Buzzzz-SS-Elite-Z.jpg

Comet,Discraft,Mid Range,Understable,4.1,5.2,-1.8,0.9,https://infinitediscs.com/Discraft-Comet,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_204491fd-aa7f-4c98-9537-b1b1ac431cc2Discraft Comet Elite X.jpg

